[2023-05-25 14:15:41.250] info: 	Request Login Admin : {"username":"teddy","password":"teddy123"}
[2023-05-25 14:15:41.258] info: 	Processing Login Admin : Checking data login...
[2023-05-25 14:15:41.685] error: 	Response Login Admin : select * from "admin" where "username" = $1 limit $2 - relation "admin" does not exist
[2023-05-25 14:16:16.109] info: 	Request Login Admin : {"username":"teddy","password":"teddy123"}
[2023-05-25 14:16:16.111] info: 	Processing Login Admin : Checking data login...
[2023-05-25 14:16:16.131] error: 	Response Login Admin : select * from "admin" where "username" = $1 limit $2 - relation "admin" does not exist
[2023-05-25 14:17:06.414] info: 	Request Login Admin : {"username":"teddy","password":"teddy123"}
[2023-05-25 14:17:06.415] info: 	Processing Login Admin : Checking data login...
[2023-05-25 14:17:06.466] error: 	Response Login Admin : select * from "admin" where "username" = $1 limit $2 - relation "admin" does not exist
[2023-05-25 14:20:16.010] info: 	Request Login Admin : {"username":"teddy","password":"teddy123"}
[2023-05-25 14:20:16.012] info: 	Processing Login Admin : Checking data login...
[2023-05-25 14:20:16.027] error: 	Response Login Admin : select * from "admin" where "username" = $1 limit $2 - relation "admin" does not exist
